tconst,primary_title,start_year,genres,averagerating,studio,domestic_gross,year
tt0790636,Dallas Buyers Club,2013,"Biography,Drama",8.0,Focus,27300000.0,2013
tt0790663,The First Grader,2010,"Biography,Drama,Romance",7.5,NGE,332000.0,2011
tt0790724,Jack Reacher,2012,"Action,Crime,Thriller",7.0,Par.,80100000.0,2012
tt0790736,R.I.P.D.,2013,"Action,Adventure,Comedy",5.6,Uni.,33600000.0,2013
tt0790770,Miles Ahead,2015,"Biography,Drama,Music",6.4,SPC,2600000.0,2016
tt0795461,Scary Movie 5,2013,Comedy,3.5,W/Dim.,32000000.0,2013
tt0800054,The Guardians,2010,"Comedy,Family",7.8,MBox,177000.0,2018
tt0800369,Thor,2011,"Action,Adventure,Fantasy",7.0,Par.,181000000.0,2011
tt0803096,Warcraft,2016,"Action,Adventure,Fantasy",6.9,Uni.,47400000.0,2016
tt0804497,It's Kind of a Funny Story,2010,"Comedy,Drama,Romance",7.1,Focus,6400000.0,2010
tt0804509,The Mule,2013,"Comedy,Drama",6.2,WB,103800000.0,2018
tt0808510,Tooth Fairy,2010,"Comedy,Family,Fantasy",5.0,Fox,60000000.0,2010
tt0810819,The Danish Girl,2015,"Biography,Drama,Romance",7.1,Focus,11100000.0,2015
tt0810913,Jack and Jill,2011,Comedy,3.3,Sony,74200000.0,2011
tt0810922,Take Me Home Tonight,2011,"Comedy,Drama,Romance",6.3,Rela.,6900000.0,2011
tt0815236,She's Out of My League,2010,"Comedy,Romance",6.4,Par.,32000000.0,2010
tt0816442,The Book Thief,2013,"Drama,War",7.6,Fox,21500000.0,2013
tt0816692,Interstellar,2014,"Adventure,Drama,Sci-Fi",8.6,Par.,188000000.0,2014
tt0816711,World War Z,2013,"Action,Adventure,Horror",7.0,Par.,202400000.0,2013
tt0817177,Flipped,2010,"Comedy,Drama,Romance",7.7,WB,1800000.0,2010
tt0817230,Valentine's Day,2010,"Comedy,Romance",5.7,WB (NL),110500000.0,2010
tt0822847,Priest,2011,"Action,Adventure,Fantasy",5.7,SGem,29100000.0,2011
tt0829150,Dracula Untold,2014,"Action,Drama,Fantasy",6.3,Uni.,56300000.0,2014
tt0835418,The Babymakers,2012,Comedy,5.0,MNE,7900.0,2012
tt0837562,Hotel Transylvania,2012,"Animation,Comedy,Family",7.1,Sony,148300000.0,2012
tt0840361,The Town,2010,"Crime,Drama,Thriller",7.6,WB,92200000.0,2010
tt0842926,The Kids Are All Right,2010,"Comedy,Drama,Romance",7.0,Focus,20800000.0,2010
tt0844993,Hoodwinked Too! Hood vs. Evil,2011,"Animation,Comedy,Crime",4.8,Wein.,10100000.0,2011
tt0848537,Epic,2013,"Adventure,Animation,Family",6.7,Fox,107500000.0,2013
tt0850709,Risen,2010,"Biography,Drama",5.3,Sony,36900000.0,2016
tt0857190,The Sweeney,2012,"Action,Crime,Drama",6.1,EOne,26700.0,2013
tt0860907,Evangelion: 3.0 You Can (Not) Redo,2012,"Action,Animation,Drama",7.0,Elev.,175000.0,2014
tt0864835,Mr. Peabody & Sherman,2014,"Adventure,Animation,Comedy",6.8,Fox,111500000.0,2014
tt0872230,My Soul to Take,2010,"Horror,Mystery,Thriller",4.8,Uni.,14700000.0,2010
tt0873886,Red State,2011,"Action,Crime,Horror",6.2,SMod,1100000.0,2011
tt0878835,Please Give,2010,"Comedy,Drama",6.6,SPC,4000000.0,2010
tt0879870,Eat Pray Love,2010,"Drama,Romance",5.8,Sony,80600000.0,2010
tt0881320,Sanctum,2011,"Adventure,Drama,Thriller",5.9,Uni.,23200000.0,2011
tt0882977,Snitch,2013,"Action,Drama,Thriller",6.5,LG/S,42900000.0,2013
tt0884726,Legends of Oz: Dorothy's Return,2013,"Adventure,Animation,Family",5.5,CE,8500000.0,2014
tt0884732,The Wedding Ringer,2015,Comedy,6.7,SGem,64500000.0,2015
tt0889573,The Switch,2010,"Comedy,Drama,Romance",6.1,Mira.,27800000.0,2010
tt0892318,Letters to Juliet,2010,"Adventure,Comedy,Drama",6.6,Sum.,53000000.0,2010
tt0892769,How to Train Your Dragon,2010,"Action,Adventure,Animation",8.1,P/DW,217600000.0,2010
tt0892791,Shrek Forever After,2010,"Adventure,Animation,Comedy",6.3,P/DW,238700000.0,2010
tt0893412,From Prada to Nada,2011,"Comedy,Drama,Romance",5.6,LGF,3000000.0,2011
tt0896872,The Whistleblower,2010,"Action,Biography,Crime",7.2,Gold.,1100000.0,2011
tt0903624,The Hobbit: An Unexpected Journey,2012,"Adventure,Family,Fantasy",7.9,WB (NL),303000000.0,2012
tt0903657,Love & Mercy,2014,"Biography,Drama,Music",7.4,RAtt.,12600000.0,2015
tt0918940,The Legend of Tarzan,2016,"Action,Adventure,Drama",6.3,WB,126600000.0,2016
tt0935075,Rabbit Hole,2010,Drama,7.0,LGF,2200000.0,2010
tt0938283,The Last Airbender,2010,"Action,Adventure,Family",4.1,Par.,131800000.0,2010
tt0944835,Salt,2010,"Action,Mystery,Thriller",6.4,Sony,118300000.0,2010
tt0945513,Source Code,2011,"Action,Drama,Sci-Fi",7.5,Sum.,54700000.0,2011
tt0947798,Black Swan,2010,"Drama,Thriller",8.0,FoxS,107000000.0,2010
tt0947810,Green Zone,2010,"Action,Drama,Thriller",6.8,Uni.,35100000.0,2010
tt0948470,The Amazing Spider-Man,2012,"Action,Adventure,Sci-Fi",7.0,Sony,262000000.0,2012
tt0954947,The Killer Inside Me,2010,"Crime,Drama,Horror",6.1,IFC,217000.0,2010
tt0955308,Robin Hood,2010,"Action,Adventure,Drama",6.6,Uni.,105300000.0,2010
tt0963966,The Sorcerer's Apprentice,2010,"Action,Adventure,Family",6.1,BV,63200000.0,2010
tt0964517,The Fighter,2010,"Biography,Drama,Sport",7.8,Par.,93600000.0,2010
tt0968264,The Conspirator,2010,"Crime,Drama,History",6.9,RAtt.,11500000.0,2011
tt0970179,Hugo,2011,"Adventure,Drama,Family",7.5,Par.,73900000.0,2011
tt0970866,Little Fockers,2010,"Comedy,Romance",5.5,Uni.,148400000.0,2010
tt0974015,Justice League,2017,"Action,Adventure,Fantasy",6.5,WB,229000000.0,2017
tt0975645,Hitchcock,2012,"Biography,Comedy,Drama",6.8,FoxS,6000000.0,2012
tt0978764,Sucker Punch,2011,"Action,Adventure,Fantasy",6.1,WB,36400000.0,2011
