tconst,primary_title,start_year,genres,averagerating,studio,domestic_gross,year,Genre1,Genre2,Genre3
tt1323594,Despicable Me,2010,"Animation,Comedy,Family",7.7,Uni.,251500000.0,2010,Animation,Comedy,Family
tt1327194,The Lucky One,2012,"Drama,Romance",6.5,WB,60500000.0,2012,Drama,Romance,
tt1335975,47 Ronin,2013,"Action,Adventure,Drama",6.3,Uni.,38400000.0,2013,Action,Adventure,Drama
tt1341188,How Do You Know,2010,"Comedy,Drama,Romance",5.4,Sony,30200000.0,2010,Comedy,Drama,Romance
tt1345836,The Dark Knight Rises,2012,"Action,Thriller",8.4,WB,448100000.0,2012,Action,Thriller,
tt1355683,Black Mass,2015,"Biography,Crime,Drama",6.9,WB,62600000.0,2015,Biography,Crime,Drama
tt1365519,Tomb Raider,2018,"Action,Adventure,Fantasy",6.3,WB,58300000.0,2018,Action,Adventure,Fantasy
tt1366344,The Sitter,2011,Comedy,5.7,Fox,30400000.0,2011,Comedy,,
tt1371111,Cloud Atlas,2012,"Action,Drama,Mystery",7.4,WB,27100000.0,2012,Action,Drama,Mystery
tt1375666,Inception,2010,"Action,Adventure,Sci-Fi",8.8,WB,292600000.0,2010,Action,Adventure,Sci-Fi
tt1375670,Grown Ups,2010,Comedy,6.0,Sony,162000000.0,2010,Comedy,,
tt1385826,The Adjustment Bureau,2011,"Romance,Sci-Fi,Thriller",7.1,Uni.,62500000.0,2011,Romance,Sci-Fi,Thriller
tt1385867,Cop Out,2010,"Action,Comedy,Crime",5.6,WB,44900000.0,2010,Action,Comedy,Crime
tt1386588,The Other Guys,2010,"Action,Comedy,Crime",6.7,Sony,119200000.0,2010,Action,Comedy,Crime
tt1386697,Suicide Squad,2016,"Action,Adventure,Fantasy",6.0,WB,325100000.0,2016,Action,Adventure,Fantasy
tt1389137,We Bought a Zoo,2011,"Comedy,Drama,Family",7.1,Fox,75600000.0,2011,Comedy,Drama,Family
tt1390411,In the Heart of the Sea,2015,"Action,Adventure,Biography",6.9,WB,25000000.0,2015,Action,Adventure,Biography
tt1392190,Mad Max: Fury Road,2015,"Action,Adventure,Sci-Fi",8.1,WB,153600000.0,2015,Action,Adventure,Sci-Fi
tt1392197,Marmaduke,2010,"Comedy,Family",4.2,Fox,33600000.0,2010,Comedy,Family,
tt1392214,Prisoners,2013,"Crime,Drama,Mystery",8.1,WB,61000000.0,2013,Crime,Drama,Mystery
tt1396218,Mr. Popper's Penguins,2011,"Comedy,Family,Fantasy",6.0,Fox,68200000.0,2011,Comedy,Family,Fantasy
tt1397280,Taken 2,2012,"Action,Thriller",6.3,Fox,139900000.0,2012,Action,Thriller,
tt1398426,Straight Outta Compton,2015,"Biography,Drama,History",7.9,Uni.,161200000.0,2015,Biography,Drama,History
tt1401152,Unknown,2011,"Action,Mystery,Thriller",6.9,WB,63700000.0,2011,Action,Mystery,Thriller
tt1402488,Happy Feet Two,2011,"Adventure,Animation,Comedy",5.9,WB,64000000.0,2011,Adventure,Animation,Comedy
tt1408253,Ride Along,2014,"Action,Comedy,Crime",6.2,Uni.,134900000.0,2014,Action,Comedy,Crime
tt1411250,Riddick,2013,"Action,Adventure,Sci-Fi",6.4,Uni.,42000000.0,2013,Action,Adventure,Sci-Fi
tt1411697,The Hangover Part II,2011,"Comedy,Mystery",6.5,WB,254500000.0,2011,Comedy,Mystery,
tt1411704,Hop,2011,"Adventure,Animation,Comedy",5.4,Uni.,108100000.0,2011,Adventure,Animation,Comedy
tt1413492,12 Strong,2018,"Action,Drama,History",6.6,WB,45800000.0,2018,Action,Drama,History
tt1414382,You Again,2010,"Comedy,Family,Romance",5.8,BV,25700000.0,2010,Comedy,Family,Romance
tt1415283,Nanny McPhee Returns,2010,"Comedy,Family,Fantasy",6.1,Uni.,29000000.0,2010,Comedy,Family,Fantasy
tt1424381,Predators,2010,"Action,Adventure,Sci-Fi",6.4,Fox,52000000.0,2010,Action,Adventure,Sci-Fi
tt1430132,The Wolverine,2013,"Action,Adventure,Sci-Fi",6.7,Fox,132600000.0,2013,Action,Adventure,Sci-Fi
tt1430607,Arthur Christmas,2011,"Adventure,Animation,Comedy",7.1,Sony,46500000.0,2011,Adventure,Animation,Comedy
tt1430615,Big Miracle,2012,"Biography,Drama,Family",6.5,Uni.,20200000.0,2012,Biography,Drama,Family
tt1430626,The Pirates! Band of Misfits,2012,"Adventure,Animation,Comedy",6.7,Sony,31100000.0,2012,Adventure,Animation,Comedy
tt1431045,Deadpool,2016,"Action,Adventure,Comedy",8.0,Fox,363100000.0,2016,Action,Adventure,Comedy
tt1433822,The Apparition,2012,"Horror,Thriller",4.1,WB,4900000.0,2012,Horror,Thriller,
tt1436562,Rio,2011,"Adventure,Animation,Comedy",6.9,Fox,143600000.0,2011,Adventure,Animation,Comedy
tt1438254,Charlie St. Cloud,2010,"Drama,Fantasy,Romance",6.5,Uni.,31200000.0,2010,Drama,Fantasy,Romance
tt1440129,Battleship,2012,"Action,Adventure,Sci-Fi",5.8,Uni.,65400000.0,2012,Action,Adventure,Sci-Fi
tt1446714,Prometheus,2012,"Adventure,Mystery,Sci-Fi",7.0,Fox,126500000.0,2012,Adventure,Mystery,Sci-Fi
tt1449283,Winnie the Pooh,2011,"Adventure,Animation,Comedy",7.2,BV,26700000.0,2011,Adventure,Animation,Comedy
tt1453405,Monsters University,2013,"Adventure,Animation,Comedy",7.3,BV,268500000.0,2013,Adventure,Animation,Comedy
