primary_title,genres,studio,domestic_gross,year
The Boss,Comedy,Uni.,63300000.0,2016
The Sorcerer's Apprentice,"Action,Adventure,Family",BV,63200000.0,2010
The Last Song,"Drama,Music,Romance",BV,63000000.0,2010
Black Mass,"Biography,Crime,Drama",WB,62600000.0,2015
The Adjustment Bureau,"Romance,Sci-Fi,Thriller",Uni.,62500000.0,2011
The Wolfman,"Drama,Fantasy,Horror",Uni.,62000000.0,2010
Prisoners,"Crime,Drama,Mystery",WB,61000000.0,2013
Get Him to the Greek,"Adventure,Comedy,Music",Uni.,61000000.0,2010
After Earth,"Action,Adventure,Drama",Sony,60500000.0,2013
The Lucky One,"Drama,Romance",WB,60500000.0,2012
Blockers,Comedy,Uni.,60300000.0,2018
Why Him?,Comedy,Fox,60300000.0,2016
Tooth Fairy,"Comedy,Family,Fantasy",Fox,60000000.0,2010
Son of God,Documentary,Fox,59700000.0,2014
My Big Fat Greek Wedding 2,"Comedy,Romance",Uni.,59700000.0,2016
Secretariat,"Biography,Drama,Family",BV,59700000.0,2010
Planes: Fire & Rescue,"Adventure,Animation,Comedy",BV,59200000.0,2014
Water for Elephants,"Drama,Romance",Fox,58700000.0,2011
Tomb Raider,"Action,Adventure,Fantasy",WB,58300000.0,2018
The Secret Life of Walter Mitty,"Adventure,Comedy,Drama",Fox,58200000.0,2013
American Reunion,Comedy,Uni.,57000000.0,2012
Dracula Untold,"Action,Drama,Fantasy",Uni.,56300000.0,2014
Fantastic Four,"Action,Adventure,Drama",Fox,56100000.0,2015
Happy Death Day,"Horror,Mystery,Thriller",Uni.,55700000.0,2017
Legend of the Guardians: The Owls of Ga'Hoole,"Action,Adventure,Animation",WB,55700000.0,2010
Neighbors 2: Sorority Rising,Comedy,Uni.,55500000.0,2016
The BFG,"Adventure,Family,Fantasy",BV,55500000.0,2016
I Am Number Four,"Action,Adventure,Sci-Fi",BV,55100000.0,2011
The Shallows,"Drama,Horror,Thriller",Sony,55100000.0,2016
The Nutcracker and the Four Realms,"Adventure,Family,Fantasy",BV,54900000.0,2018
This Means War,"Action,Comedy,Romance",Fox,54800000.0,2012
Project X,Comedy,WB,54700000.0,2012
Assassin's Creed,"Action,Adventure,Sci-Fi",Fox,54600000.0,2016
Horrible Bosses 2,"Comedy,Crime",WB,54400000.0,2014
The Hundred-Foot Journey,"Comedy,Drama",BV,54200000.0,2014
Life as We Know It,"Comedy,Drama,Romance",WB,53400000.0,2010
Diary of a Wimpy Kid: Rodrick Rules,"Comedy,Family",Fox,52700000.0,2011
Wall Street: Money Never Sleeps,Drama,Fox,52500000.0,2010
Predators,"Action,Adventure,Sci-Fi",Fox,52000000.0,2010
The Odd Life of Timothy Green,"Comedy,Drama,Family",BV,51900000.0,2012
Ghost Rider: Spirit of Vengeance,"Action,Fantasy,Thriller",Sony,51800000.0,2012
American Made,"Action,Biography,Comedy",Uni.,51300000.0,2017
Muppets Most Wanted,"Adventure,Comedy,Crime",BV,51200000.0,2014
Ouija,"Horror,Mystery,Thriller",Uni.,50900000.0,2014
The Dark Tower,"Action,Adventure,Fantasy",Sony,50700000.0,2017
Sicario: Day of the Soldado,"Action,Crime,Drama",Sony,50100000.0,2018
Red Tails,"Action,Adventure,Drama",Fox,49900000.0,2012
Diary of a Wimpy Kid: Dog Days,"Comedy,Family",Fox,49000000.0,2012
The Dilemma,"Comedy,Drama",Uni.,48500000.0,2011
The Huntsman: Winter's War,"Action,Adventure,Drama",Uni.,48400000.0,2016
Warcraft,"Action,Adventure,Fantasy",Uni.,47400000.0,2016
Jupiter Ascending,"Action,Adventure,Sci-Fi",WB,47400000.0,2015
The Judge,"Crime,Drama",WB,47100000.0,2014
Jersey Boys,"Biography,Drama,Music",WB,47000000.0,2014
Red Sparrow,"Action,Drama,Thriller",Fox,46900000.0,2018
Goosebumps 2: Haunted Halloween,"Adventure,Comedy,Family",Sony,46700000.0,2018
Arthur Christmas,"Adventure,Animation,Comedy",Sony,46500000.0,2011
Blended,"Comedy,Romance",WB,46300000.0,2014
Gangster Squad,"Action,Crime,Drama",WB,46000000.0,2013
Mike and Dave Need Wedding Dates,"Adventure,Comedy,Romance",Fox,46000000.0,2016
12 Strong,"Action,Drama,History",WB,45800000.0,2018
The Great Wall,"Action,Adventure,Fantasy",Uni.,45500000.0,2017
Here Comes the Boom,"Action,Comedy,Sport",Sony,45300000.0,2012
Smurfs: The Lost Village,"Adventure,Animation,Comedy",Sony,45000000.0,2017
First Man,"Biography,Drama,History",Uni.,44900000.0,2018
Cop Out,"Action,Comedy,Crime",WB,44900000.0,2010
The Internship,Comedy,Fox,44700000.0,2013
"McFarland, USA","Biography,Drama,Sport",BV,44500000.0,2015
The Three Stooges,"Comedy,Family",Fox,44300000.0,2012
Cats & Dogs: The Revenge of Kitty Galore,"Action,Comedy,Family",WB,43600000.0,2010
Need for Speed,"Action,Crime,Thriller",BV,43600000.0,2014
Edge of Darkness,"Crime,Drama,Mystery",WB,43300000.0,2010
A Million Ways to Die in the West,"Comedy,Western",Uni.,43100000.0,2014
War Dogs,"Comedy,Crime,Drama",WB,43000000.0,2016
The Night Before,"Adventure,Comedy,Fantasy",Sony,43000000.0,2015
Gulliver's Travels,"Adventure,Comedy,Family",Fox,42800000.0,2010
Krampus,"Comedy,Fantasy,Horror",Uni.,42700000.0,2015
Widows,"Comedy,Drama",Fox,42400000.0,2018
Almost Christmas,"Comedy,Drama",Uni.,42200000.0,2016
Dolphin Tale 2,"Drama,Family",WB,42000000.0,2014
Riddick,"Action,Adventure,Sci-Fi",Uni.,42000000.0,2013
Truth or Dare,"Horror,Romance,Thriller",Uni.,41400000.0,2018
The Ides of March,"Drama,Thriller",Sony,41000000.0,2011
The Star,"Adventure,Animation,Comedy",Sony,40900000.0,2017
Paddington 2,"Adventure,Comedy,Family",WB,40900000.0,2018
"Love, Simon","Comedy,Drama,Romance",Fox,40800000.0,2018
King Arthur: Legend of the Sword,"Action,Adventure,Drama",WB,39200000.0,2017
Something Borrowed,"Comedy,Drama,Romance",WB,39000000.0,2011
Sex Tape,"Comedy,Romance",Sony,38500000.0,2014
47 Ronin,"Action,Adventure,Drama",Uni.,38400000.0,2013
"Big Mommas: Like Father, Like Son","Action,Comedy,Crime",Fox,37900000.0,2011
Red Riding Hood,"Fantasy,Horror,Mystery",WB,37700000.0,2011
Abraham Lincoln: Vampire Hunter,"Action,Fantasy,Horror",Fox,37500000.0,2012
In Time,"Action,Crime,Drama",Fox,37500000.0,2011
The Longest Ride,"Drama,Romance",Fox,37400000.0,2015
Paul,"Adventure,Comedy,Sci-Fi",Uni.,37400000.0,2011
J. Edgar,"Biography,Crime,Drama",WB,37300000.0,2011
The Change-Up,"Comedy,Fantasy",Uni.,37100000.0,2011
30 Minutes or Less,"Action,Comedy,Crime",Sony,37100000.0,2011
That's My Boy,Comedy,Sony,36900000.0,2012
Risen,"Biography,Drama",Sony,36900000.0,2016
Vampires Suck,Comedy,Fox,36700000.0,2010
Million Dollar Arm,"Biography,Drama,Sport",BV,36500000.0,2014
Sucker Punch,"Action,Adventure,Fantasy",WB,36400000.0,2011
The 15:17 to Paris,"Biography,Drama,Thriller",WB,36300000.0,2018
The Nice Guys,"Action,Comedy,Crime",WB,36300000.0,2016
Trouble with the Curve,"Drama,Sport",WB,35800000.0,2012
Larry Crowne,"Comedy,Drama,Romance",Uni.,35600000.0,2011
The Watch,"Action,Comedy,Horror",Fox,35400000.0,2012
The Boy Next Door,"Horror,Thriller",Uni.,35400000.0,2015
Frankenweenie,"Animation,Comedy,Family",BV,35300000.0,2012
Ouija: Origin of Evil,"Drama,Horror,Mystery",Uni.,35100000.0,2016
A Very Harold & Kumar 3D Christmas,"Adventure,Comedy",WB,35100000.0,2011
Green Zone,"Action,Drama,Thriller",Uni.,35100000.0,2010
Pan,"Adventure,Comedy,Family",WB,35100000.0,2015
The 5th Wave,"Action,Adventure,Drama",Sony,34900000.0,2016
"Everything, Everything","Drama,Romance",WB,34100000.0,2017
Geostorm,"Action,Sci-Fi,Thriller",WB,33700000.0,2017
R.I.P.D.,"Action,Adventure,Comedy",Uni.,33600000.0,2013
Marmaduke,"Comedy,Family",Fox,33600000.0,2010
Devil,"Horror,Mystery,Thriller",Uni.,33600000.0,2010
Hereafter,"Drama,Fantasy,Romance",WB,32700000.0,2010
When in Rome,"Comedy,Romance",BV,32700000.0,2010
Unfriended,"Horror,Mystery,Thriller",Uni.,32500000.0,2015
Entourage,Comedy,WB,32400000.0,2015
Paper Towns,"Comedy,Drama,Mystery",Fox,32000000.0,2015
Extremely Loud & Incredibly Close,"Adventure,Drama,Mystery",WB,31800000.0,2011
Chappie,"Action,Crime,Drama",Sony,31600000.0,2015
Scott Pilgrim vs. the World,"Action,Comedy,Fantasy",Uni.,31500000.0,2010
Charlie St. Cloud,"Drama,Fantasy,Romance",Uni.,31200000.0,2010
Crimson Peak,"Drama,Fantasy,Horror",Uni.,31100000.0,2015
The Pirates! Band of Misfits,"Adventure,Animation,Comedy",Sony,31100000.0,2012
Joyful Noise,"Comedy,Drama,Music",WB,30900000.0,2012
Delivery Man,"Comedy,Drama",BV,30700000.0,2013
