2010,2011,2012,2013,2014,2015,2016,2017,2018,Total,Mean
7.9,7.6,7.2,0.0,7.1,7.3,0.0,7.949999999999999,8.4,7.611111111111111,6.10611111111111
0.0,7.2,0.0,7.6,0.0,7.1,0.0,0.0,8.4,7.574999999999999,3.7875
0.0,7.2,7.4,0.0,6.1,7.375,7.3,7.550000000000001,7.1499999999999995,7.2333333333333325,5.730833333333334
7.45,7.1,7.2,7.25,7.2250000000000005,7.314285714285714,7.08,7.333333333333333,6.862500000000001,7.161538461538462,7.197665750915751
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,6.7,7.15,2.1450000000000005
6.4750000000000005,6.714285714285714,6.6000000000000005,7.0,7.142857142857143,6.857142857142857,6.6000000000000005,6.8,6.716666666666668,6.796153846153847,6.770210622710623
6.473684210526316,6.764999999999999,6.755555555555555,6.695238095238096,6.799999999999999,6.3730769230769235,6.465217391304347,6.6066666666666665,6.705882352941177,6.612429378531071,6.625275057384014
0.0,7.6,6.8,6.300000000000001,7.0,7.4,7.4,2.9,7.4,6.609090909090909,5.940909090909091
7.08,6.0,7.114285714285715,6.5625,7.028571428571428,6.3,6.827272727272727,5.950000000000001,6.88,6.603030303030302,6.634566017316017
6.611111111111111,6.329166666666667,6.8133333333333335,6.441666666666669,6.86470588235294,6.445833333333333,6.64074074074074,6.519999999999999,6.643478260869563,6.569543147208119,6.587957914228246
6.291666666666667,6.472222222222221,6.3950000000000005,6.528571428571429,7.061904761904761,6.372727272727274,6.507692307692306,6.845000000000001,6.6590909090909065,6.564948453608249,6.569882402248382
6.766666666666667,0.0,6.5,0.0,6.8,6.066666666666667,6.3,5.8,8.0,6.533333333333332,5.276666666666666
6.5125,6.325,6.733333333333333,6.407692307692307,6.672727272727272,5.955555555555556,6.924999999999999,5.85,6.85,6.432812499999997,6.4664620969308455
6.0,6.45,6.466666666666666,8.1,6.214285714285714,5.949999999999999,6.35,6.824999999999999,5.9,6.36206896551724,6.461802134646962
6.010714285714287,6.0200000000000005,6.481481481481479,6.470000000000001,6.395238095238096,6.233333333333334,6.53076923076923,5.995652173913043,6.809999999999998,6.3,6.324718860044946
6.24,6.725,6.42,6.272727272727274,6.275,6.029999999999999,6.433333333333334,6.314285714285714,5.785714285714286,6.268918918918916,6.276497952497952
6.111111111111111,6.0,6.150000000000001,6.833333333333333,6.25,6.15,6.3500000000000005,6.4222222222222225,6.2125,6.250909090909091,6.273007575757576
0.0,0.0,0.0,6.4,6.1,0.0,0.0,0.0,0.0,6.25,1.875
5.892307692307693,6.26,6.5375000000000005,6.25,6.45,5.860000000000001,6.566666666666667,4.4,6.116666666666667,6.151923076923075,6.048506410256411
6.0928571428571425,6.355555555555556,6.449999999999999,0.0,5.8,6.085714285714286,6.366666666666667,4.875,6.36,6.130188679245283,5.451598233003894
5.6000000000000005,5.5,5.380000000000001,5.7,4.75,5.8,6.133333333333333,6.75,5.625,5.6933333333333325,5.693166666666667
